Location,Pokemon,Time of Day,Encounter Method,Rarity,Additional Notes
,Krabby,Any,Fishing: Super Rod,Common,
,Horsea,Any,Fishing: Super Rod,Common,
,Seadra,Any,Fishing: Super Rod,Uncommon,
,Goldeen,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
Cinnabar Volcano,Pokémon,Time,Method,Rarity,Notes
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Psyduck,Any,Cave,Uncommon,
Pokémon Mansion 1F,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Floor,Common,
,Raticate,Any,Floor,Common,
,Koffing,Any,Floor,Common,
,Weezing,Any,Floor,Uncommon,
,Grimer,Any,Floor,Common,
,Muk,Any,Floor,Uncommon,
,Growlithe,Any,Floor,Uncommon,
,Vulpix,Any,Floor,Uncommon,
Pokémon Mansion 2F,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Floor,Common,
,Raticate,Any,Floor,Common,
,Koffing,Any,Floor,Common,
,Weezing,Any,Floor,Uncommon,
,Grimer,Any,Floor,Common,
,Muk,Any,Floor,Uncommon,
,Growlithe,Any,Floor,Uncommon,
,Vulpix,Any,Floor,Uncommon,
Pokémon Mansion 3F,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Floor,Common,
,Raticate,Any,Floor,Common,
,Koffing,Any,Floor,Common,
,Weezing,Any,Floor,Uncommon,
,Grimer,Any,Floor,Common,
,Muk,Any,Floor,Uncommon,
,Growlithe,Any,Floor,Uncommon,
,Vulpix,Any,Floor,Uncommon,
,Magmar,Any,Floor,Rare,
Pokémon Mansion B1F,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Floor,Common,
,Raticate,Any,Floor,Common,
,Koffing,Any,Floor,Common,
,Weezing,Any,Floor,Uncommon,
,Grimer,Any,Floor,Common,
,Muk,Any,Floor,Uncommon,
,Growlithe,Any,Floor,Uncommon,
,Vulpix,Any,Floor,Uncommon,
,Magmar,Any,Floor,Rare,
,Ditto,Any,Floor,Rare,
Route 21,Pokémon,Time,Method,Rarity,Notes
,Tangela,Any,Grass,Common,
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Kingler,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Common,
,Seadra,Any,Fishing: Super Rod,Uncommon,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Staryu,D/E,Fishing: Super Rod,Rare,Northern half of route only
Route 23,Pokémon,Time,Method,Rarity,Notes
,Mankey,Any,Grass,Common,
,Primeape,Any,Grass,Uncommon,
,Spearow,Any,Grass,Common,
,Fearow,Any,Grass,Uncommon,
,Ekans,Any,Grass,Common,
,Arbok,Any,Grass,Uncommon,
,Sandshrew,Any,Grass,Common,
,Sandslash,Any,Grass,Uncommon,
,Psyduck,Any,Surfing,Common,
,Slowpoke,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Uncommon,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
Victory Road 1F,Pokémon,Time,Method,Rarity,Notes
,Onix,Any,Cave,Common,
,Machop,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Sandslash,Any,Cave,Common,
,Arbok,Any,Cave,Uncommon,
,Golbat,Any,Cave,Uncommon,
,Machoke,Any,Cave,Uncommon,
,Primeape,Any,Cave,Uncommon,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
Victory Road 2F,Pokémon,Time,Method,Rarity,Notes
,Onix,Any,Cave,Common,
,Machop,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Sandslash,Any,Cave,Common,
,Arbok,Any,Cave,Uncommon,
,Golbat,Any,Cave,Uncommon,
,Machoke,Any,Cave,Uncommon,
,Primeape,Any,Cave,Uncommon,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
,Moltres,Any,Unique,One Chance,"Level 50, after Elite Four"
Victory Road 3F,Pokémon,Time,Method,Rarity,Notes
,Onix,Any,Cave,Common,
,Machop,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Sandslash,Any,Cave,Common,
,Arbok,Any,Cave,Uncommon,
,Golbat,Any,Cave,Uncommon,
,Machoke,Any,Cave,Uncommon,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
Victory RoadNorth Exit Area,Pokémon,Time,Method,Rarity,Notes
,Onix,Any,Cave,Common,
,Machop,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Sandslash,Any,Cave,Common,
,Arbok,Any,Cave,Uncommon,
,Golbat,Any,Cave,Uncommon,
,Machoke,Any,Cave,Uncommon,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
Indigo Plateau,Pokémon,Time,Method,Rarity,Notes
Pokémon League,Pokémon,Time,Method,Rarity,Notes
Cerulean Cave 1F,Pokémon,Time,Method,Rarity,Notes
,Parasect,Any,Cave,Uncommon,
,Magneton,Any,Cave,Common,
,Golbat,Any,Cave,Common,
,Primeape,Any,Cave,Common,
,Ditto,Any,Cave,Uncommon,
,Machoke,Any,Cave,Common,
,Electrode,Any,Cave,Common,
,Psyduck,Any,Surfing,Common,
,Golduck,Any,Surfing,Uncommon,
,Slowpoke,Any,Surfing,Common,
,Slowbro,Any,Surfing,Uncommon,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Slowbro,Any,Fishing: Super Rod,Uncommon,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Uncommon,
,Goldeen,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
Cerulean Cave 2F,Pokémon,Time,Method,Rarity,Notes
,Parasect,Any,Cave,Uncommon,
,Magneton,Any,Cave,Common,
,Golbat,Any,Cave,Common,
,Ditto,Any,Cave,Uncommon,
,Machoke,Any,Cave,Common,
,Electrode,Any,Cave,Common,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
Cerulean Cave B1F,Pokémon,Time,Method,Rarity,Notes
,Parasect,Any,Cave,Uncommon,
,Magneton,Any,Cave,Common,
,Golbat,Any,Cave,Common,
,Ditto,Any,Cave,Uncommon,
,Machoke,Any,Cave,Common,
,Electrode,Any,Cave,Common,
,Psyduck,Any,Surfing,Common,
,Golduck,Any,Surfing,Uncommon,
,Slowpoke,Any,Surfing,Common,
,Slowbro,Any,Surfing,Uncommon,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Slowbro,Any,Fishing: Super Rod,Uncommon,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Uncommon,
,Goldeen,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Kingler,Any,Fishing: Super Rod,Uncommon,
,Geodude,Any,Rock Smash,Common,
,Graveler,Any,Rock Smash,Uncommon,
,Mew,Any,Egg Drop,?,Drop from Mewtwo boss
,Omanyte,Any,Fossil,?,Drop from Mewtwo boss
Route 28,Pokémon,Time,Method,Rarity,Notes
,Ponyta,Any,Grass,Common,
,Tangela,Any,Grass,Common,
,Rapidash,Any,Grass,Uncommon,
,Doduo,M/D/E,Grass,Common,
,Dodrio,M/D/E,Grass,Uncommon,
,Arbok,M/D/E,Grass,Common,
,Golbat,N,Grass,Common,
,Poliwag,Any,Surfing,Common,
,Poliwhirl,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Poliwag,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Magikarp,Any,Fishing: Super Rod,Common,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Common,
Mt. Silver – Outside/PC,Pokémon,Time,Method,Rarity,Notes
,Ponyta,Any,Grass,Common,
,Tangela,Any,Grass,Common,
,Rapidash,Any,Grass,Uncommon,
,Doduo,M/D/E,Grass,Common,
,Dodrio,M/D/E,Grass,Uncommon,
,Arbok,M/D/E,Grass,Common,
,Golbat,N,Grass,Common,
,Poliwag,Any,Surfing,Common,
,Poliwhirl,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Poliwag,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Magikarp,Any,Fishing: Super Rod,Common,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Common,
Mt. Silver Old Entrance,Pokémon,Time,Method,Rarity,Notes
,Graveler,Any,Cave,Common,
,Onix,Any,Cave,Common,
,Golduck,N,Cave,Common,
Mt. Silver 1F,Pokémon,Time,Method,Rarity,Notes
,Goldeen,Any,Surfing,Common,
,Seaking,Any,Surfing,Common,
,Gyarados,N,Surfing,Uncommon,
,Magikarp,Any,Fishing: Old Rod,Common,
,Goldeen,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Seaking,Any,Fishing: Good Rod,Uncommon,
,Seaking,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Graveler,Any,Cave,Common,
,Onix,Any,Cave,Common,
,Golduck,N,Cave,Common,
,Geodude,Any,Rock Smash,?,
,Rhyhorn,Any,Rock Smash,Rare,
Mt. Silver Hidden Cave,Pokémon,Time,Method,Rarity,Notes
Entrance hidden in first Waterfall on 1F,,,,,,,
Mt. Silver Expert Belt,Pokémon,Time,Method,Rarity,Notes
Entrance near right side of first Waterfall on 1F,Golbat,Any,Cave,Common,
Teddiursa,Any,Cave,Common,
,Golduck,Any,Cave,Common,
,Parasect,Any,Cave,Common,
Mt. Silver Chamber,Pokémon,Time,Method,Rarity,Notes
Entrance at back of 1F (past second Waterfall),Golbat,Any,Cave,Common,
Ursaring,Any,Cave,Common,
,Golduck,Any,Cave,Common,
,Parasect,Any,Cave,Common,
Mt. Silver Lower Mountainside,Pokémon,Time,Method,Rarity,Notes
,Golbat,Any,Grass,Common,
,Golduck,Any,Grass,Common,
,Onix,Any,Grass,Common,
Mt. Silver 2F,Pokémon,Time,Method,Rarity,Notes
,Golduck,Any,Cave,Common,
,Parasect,Any,Cave,Common,
,Machoke,D/E,Cave,Common,
,Geodude,Any,Rock Smash,?,
,Rhyhorn,Any,Rock Smash,Rare,
Mt. Silver Upper Mountainside,Pokémon,Time,Method,Rarity,Notes
,Golbat,Any,Grass,Common,
,Golduck,Any,Grass,Common,
Mt. Silver 3F,Pokémon,Time,Method,Rarity,Notes
,Golduck,Any,Cave,Common,
,Parasect,Any,Cave,Common,
Mt. Silver Summit,Pokémon,Time,Method,Rarity,Notes
,Aerodactyl,Any,Fossil,?,Drop from Ash boss
Route 26,Pokémon,Time,Method,Rarity,Notes
,Raticate,Any,Grass,Common,
,Arbok,Any,Grass,Common,
,Sandslash,Any,Grass,Common,
,Ponyta,Any,Grass,Common,
,Doduo,Any,Grass,Common,
,Dodrio,M/D/E,Grass,Uncommon,
,Tentacool,Any,Surfing,Common,
,Tentacruel,Any,Surfing,Uncommon,
,Magikarp,Any,Fishing: Old Rod,Common,
,Tentacool,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Shellder,Any,Fishing: Good Rod,Common,
,Tentacool,Any,Fishing: Good Rod,Common,
,Tentacruel,Any,Fishing: Super Rod,Uncommon,
,Shellder,Any,Fishing: Super Rod,Common,
,Exeggcute,Any,Headbutt,Common,
Route 27,Pokémon,Time,Method,Rarity,Notes
,Raticate,Any,Grass,Common,
,Arbok,Any,Grass,Common,
,Sandslash,Any,Grass,Common,
,Ponyta,Any,Grass,Common,
,Doduo,Any,Grass,Common,
,Dodrio,M/D/E,Grass,Uncommon,
,Tentacool,Any,Surfing,Common,
,Tentacruel,Any,Surfing,Uncommon,
,Magikarp,Any,Fishing: Old Rod,Common,
,Tentacool,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Shellder,Any,Fishing: Good Rod,Common,
,Tentacool,Any,Fishing: Good Rod,Common,
,Tentacruel,Any,Fishing: Super Rod,Uncommon,
,Shellder,Any,Fishing: Super Rod,Common,
,Exeggcute,Any,Headbutt,Common,
Tohjo Falls,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Cave,Common,
,Raticate,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Goldeen,Any,Surfing,Common,
,Seaking,Any,Surfing,Uncommon,
,Slowpoke,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Goldeen,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Magikarp,Any,Fishing: Super Rod,Common,
,Goldeen,Any,Fishing: Super Rod,Common,
,Seaking,Any,Fishing: Super Rod,Uncommon,
Cerulean Channel(Entrance to Cerulean Valley),Pokémon,Time,Method,Rarity,Notes
"After E4, Surf north from Route 9/10",Magikarp,Any,Fishing: Old Rod,,
Magikarp,Any,Fishing: Good Rod,,
,Horsea,Any,Fishing: Good Rod,,
,Krabby,Any,Fishing: Good Rod,,
,Slowpoke,Any,Fishing: Super Rod,,
,Krabby,Any,Fishing: Super Rod,,
,Horsea,Any,Fishing: Super Rod,,
,Gyarados,Any,Fishing: Super Rod,,
,Psyduck,Any,Fishing: Super Rod,,
,Magikarp,Any,Surfing,,
,Tentacool,Any,Surfing,,
Cerulean Valley Bay,Pokémon,Time,Method,Rarity,Notes
,Magikarp,Any,Fishing: Old Rod,,
,Magikarp,Any,Fishing: Good Rod,,
,Horsea,Any,Fishing: Good Rod,,
,Krabby,Any,Fishing: Good Rod,,
,Slowpoke,Any,Fishing: Super Rod,,
,Krabby,Any,Fishing: Super Rod,,
,Horsea,Any,Fishing: Super Rod,,
,Gyarados,Any,Fishing: Super Rod,,
,Psyduck,Any,Fishing: Super Rod,,
,Magikarp,Any,Surfing,,
,Tentacool,Any,Surfing,,
Cerulean Valley /Cerulean Valley Upper,Pokémon,Time,Method,Rarity,Notes
,Ekans,Any,Grass,,
,Arbok,N,Grass,,
,Spearow,Any,Grass,,
,Rattata,Any,Grass,,
,Zubat,N,Grass,,
,Sandshrew,Any,Grass,,
,Mankey,Any,Grass,,
,Raticate,N,Grass,,
Cerulean Valley Lower,Pokémon,Time,Method,Rarity,Notes
,Abra,Any,Grass,,
,Bellsprout,M/N,Grass,,
,Venonat,N,Grass,,
,Oddish,N,Grass,,
,Caterpie,Any,Grass,,
,Metapod,Any,Grass,,
,Weedle,Any,Grass,,
,Kakuna,Any,Grass,,
,Pidgey,Any,Grass,,
,Rattata,Any,Grass,,
Cerulean Lighthouse Trail,Pokémon,Time,Method,Rarity,Notes
,Poliwag,Any,Grass,,
,Psyduck,Any,Grass,,
,Slowpoke,Any,Grass,,
,Rattata,Any,Grass,,
,Oddish,Any,Grass,,
,Venonat,Any,Grass,,
,Sandshrew,Any,Grass,,
,Voltorb,Any,Grass,,
,Fearow,Any,Grass,,
,Spearow,Any,Grass,,
Cerulean Ruins,Pokémon,Time,Method,Rarity,Notes
,Golbat,Any,Grass,,
,Zubat,Any,Grass,,
,Geodude,Any,Grass,,
,Graveler,Any,Grass,,
Cerulean Hidden Chamber,Pokémon,Time,Method,Rarity,Notes
Ignite torch on the left side of the door,Golbat,Any,Grass,,
Donphan,Any,Grass,,
,Zubat,Any,Grass,,
,Geodude,Any,Grass,,
,Graveler,Any,Grass,,
Cerulean Evil Tomb,Pokémon,Time,Method,Rarity,Notes
Lavender Town Cemetary,Pokémon,Time,Method,Rarity,Notes
After E4. Follow stairs near Lavender Town mausoleum (south of Pokémon Tower),Rattata,Any,Grass,,
Pidgey,D/E,Grass,,
Noctowl,N,Grass,,
Haunter,N,Grass,,
,Gastly,D/E/N,Grass,,
,Zubat,N,Grass,,
Lavender Town Graveyard,Pokémon,Time,Method,Rarity,Notes
"To get here, interact with the gravestone at the upper end of Lavender Town Cemetary",Haunter,Any,Grass,,
Gastly,Any,Grass,,
Rattata,Any,Grass,,
Gengar,Any,Grass,,
Lavender Town CemetaryPumpkin Field,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Grass,,
,Pidgey,D/E,Grass,,
,Haunter,N,Grass,,
,Gastly,D/E/N,Grass,,
,Zubat,N,Grass,,
